,,,,invariance_execution_time_ms,invariance_num_clusters,invariance_num_clusters/ms,invariance_variance,invariance_variance*ms,isomorphism_execution_time_ms,isomorphism_check_count,isomorphism_num_clusters
0,1.0,1,no_invariant,98.23989868164062,1,0.010179163592591155,5308433881,521500006627.6283,42686.150789260864,2321344,754
0,1.0,1,node_label_histogram,1369.417428970337,590,0.4308401423250617,401886351,550350173524.6904,6492.314100265503,81587,754
0,1.0,1,node_label_with_edges_histogram,1622.058629989624,705,0.43463287144220536,398031917,645631105981.1637,6287.820816040039,78601,754
0,1.0,1,edge_label_with_nodes_histogram,1243.2777881622314,726,0.5839402962978588,293224391,364559372277.6973,5943.358421325684,72290,754
0,1.0,1,weisfeiler_lehman_graph_hash_(1),2075.831651687622,752,0.36226444441611366,292852707,607912918473.0012,6053.458213806152,72128,754
0,1.0,1,weisfeiler_lehman_graph_hash_(2),2916.4650440216064,753,0.25818927661881536,292852347,854093633085.1858,5968.307018280029,72110,754
0,1.0,1,weisfeiler_lehman_graph_hash_(3),3863.1772994995117,754,0.19517613134082232,292851927,1131338916501.0881,6050.102710723877,72105,754
1,1.0,1,no_invariant,110.76569557189941,1,0.009028065908283736,5308433881,587992371226.4025,172472.94902801514,15137617,2721
1,1.0,1,node_label_histogram,1667.107105255127,1619,0.9711433625929122,96024141,160082527737.12015,13514.745473861694,101095,2721
1,1.0,1,node_label_with_edges_histogram,2672.335386276245,2543,0.9516021129157494,73952049,197624677430.3348,11677.419424057007,75764,2721
1,1.0,1,edge_label_with_nodes_histogram,2036.7145538330078,2569,1.2613451380141878,68748821,140021724289.5603,11399.486064910889,72377,2721
1,1.0,1,weisfeiler_lehman_graph_hash_(1),3379.7671794891357,2718,0.8041974064056199,66321231,224150319837.11743,11432.806253433228,70158,2721
1,1.0,1,weisfeiler_lehman_graph_hash_(2),4731.078147888184,2720,0.5749218074561143,66320847,313769109991.1356,11006.614208221436,70142,2721
1,1.0,1,weisfeiler_lehman_graph_hash_(3),6537.4345779418945,2721,0.4162183143187371,66320679,433567100127.1849,11097.361087799072,70138,2721
2,1.0,1,no_invariant,108.7033748626709,1,0.009199346398061126,5308433881,577044678100.0459,2029562.076807022,205766693,14940
2,1.0,1,node_label_histogram,2388.4966373443604,5253,2.1992913525055346,26814861,64047205329.35643,30831.11882209778,284078,14940
2,1.0,1,node_label_with_edges_histogram,3847.7513790130615,13679,3.5550633740552717,11163095,42952814180.30381,16407.285451889038,65714,14940
2,1.0,1,edge_label_with_nodes_histogram,2923.322916030884,12232,4.184279448884111,11732811,34298795265.75923,16791.62335395813,75911,14940
2,1.0,1,weisfeiler_lehman_graph_hash_(1),4566.067695617676,14670,3.2128301588869705,10165251,46415224208.945274,15288.076877593994,59141,14940
2,1.0,1,weisfeiler_lehman_graph_hash_(2),6808.772087097168,14939,2.1940813716337875,10101277,68777292881.63663,15022.513151168823,57920,14940
2,1.0,1,weisfeiler_lehman_graph_hash_(3),9232.131719589233,14940,1.6182611398729836,10101273,93256282871.53029,15504.518270492554,57919,14940
